[2026-06-21T08:23:27.229607] $MAD poller starting...
[2026-06-21T00:23:28.002557+00:00] Price: $0.001954 | Vol24h: $15976.39 | MCap: $959269
[2026-06-21T13:50:41.610387+00:00] Price: $0.001902 | Vol24h: $26071.59 | MCap: $933873
[2026-06-21T13:55:42.166143+00:00] Price: $0.001902 | Vol24h: $26070.88 | MCap: $933873
[2026-06-21T14:00:43.546231+00:00] Price: $0.001902 | Vol24h: $26066.49 | MCap: $933873
[2026-06-21T14:05:44.128312+00:00] Price: $0.001902 | Vol24h: $26066.39 | MCap: $933873
[2026-06-21T14:10:44.619061+00:00] Price: $0.001902 | Vol24h: $26066.39 | MCap: $933873
[2026-06-21T14:15:46.157429+00:00] Price: $0.001910 | Vol24h: $26086.1 | MCap: $937778
[2026-06-21T14:20:46.698444+00:00] Price: $0.001909 | Vol24h: $26086.5 | MCap: $937118
[2026-06-21T14:25:47.442458+00:00] Price: $0.001915 | Vol24h: $25787.58 | MCap: $939930
[2026-06-21T14:30:48.357283+00:00] Price: $0.001915 | Vol24h: $25787.58 | MCap: $939930
[2026-06-21T14:35:48.919925+00:00] Price: $0.001915 | Vol24h: $25787.58 | MCap: $939930
[2026-06-21T14:40:49.484317+00:00] Price: $0.001915 | Vol24h: $25787.58 | MCap: $939930
[2026-06-21T14:45:50.473078+00:00] Price: $0.001915 | Vol24h: $25777.7 | MCap: $939930
[2026-06-21T14:50:51.392547+00:00] Price: $0.001915 | Vol24h: $25777.7 | MCap: $939930
[2026-06-21T14:55:52.014389+00:00] Price: $0.001920 | Vol24h: $25926.35 | MCap: $942819
[2026-06-21T15:00:52.594533+00:00] Price: $0.001920 | Vol24h: $25914.64 | MCap: $942819
[2026-06-21T15:05:53.496282+00:00] Price: $0.001920 | Vol24h: $25841.05 | MCap: $942819
[2026-06-21T15:10:54.064988+00:00] Price: $0.001920 | Vol24h: $25840.99 | MCap: $942819
[2026-06-21T15:15:54.670684+00:00] Price: $0.001903 | Vol24h: $25888.47 | MCap: $934144
[2026-06-21T15:20:55.238453+00:00] Price: $0.001923 | Vol24h: $25895.23 | MCap: $944002
[2026-06-21T15:25:55.778595+00:00] Price: $0.001901 | Vol24h: $25908 | MCap: $933228
[2026-06-21T15:30:56.973418+00:00] Price: $0.001901 | Vol24h: $25908 | MCap: $933228
[2026-06-21T15:35:57.513385+00:00] Price: $0.001901 | Vol24h: $25908 | MCap: $933228
[2026-06-21T15:40:58.045959+00:00] Price: $0.001928 | Vol24h: $26003.51 | MCap: $946419
[2026-06-21T15:45:58.527709+00:00] Price: $0.001928 | Vol24h: $26003.51 | MCap: $946419
[2026-06-21T15:50:59.901512+00:00] Price: $0.001908 | Vol24h: $26012.5 | MCap: $936577
[2026-06-21T15:56:00.482424+00:00] Price: $0.001908 | Vol24h: $26013.96 | MCap: $936763
[2026-06-21T16:01:01.055870+00:00] Price: $0.001908 | Vol24h: $26002.64 | MCap: $936763
[2026-06-21T16:06:02.078228+00:00] Price: $0.001908 | Vol24h: $26002.64 | MCap: $936763
[2026-06-21T16:11:03.133749+00:00] Price: $0.001908 | Vol24h: $26002.64 | MCap: $936763
[2026-06-21T16:16:03.663699+00:00] Price: $0.001908 | Vol24h: $26002.54 | MCap: $936763
